acc_epoch,acc_step,avg_test_acc,avg_test_loss,epoch,step,test_acc,test_loss,train_loss_epoch,train_loss_step
,0.734375,,,0,49,,,,1.0826207399368286
,0.796875,,,0,99,,,,0.6022781133651733
,0.84375,,,0,149,,,,0.46944910287857056
,0.96875,,,0,199,,,,0.3208940923213959
,0.859375,,,0,249,,,,0.38997796177864075
,0.953125,,,0,299,,,,0.2194424271583557
,0.953125,,,0,349,,,,0.25357380509376526
,0.9375,,,0,399,,,,0.26586294174194336
,0.96875,,,0,449,,,,0.2084803432226181
,0.953125,,,0,499,,,,0.26178649067878723
,0.828125,,,0,549,,,,0.5257540941238403
,0.9375,,,0,599,,,,0.1634611040353775
,0.90625,,,0,649,,,,0.30022621154785156
,0.921875,,,0,699,,,,0.21351881325244904
,0.96875,,,0,749,,,,0.12403690069913864
0.8866041898727417,,,,0,749,,,0.43204882740974426,
,0.921875,,,1,799,,,,0.28619349002838135
,0.90625,,,1,849,,,,0.34865477681159973
,0.90625,,,1,899,,,,0.3047744631767273
,0.953125,,,1,949,,,,0.14246511459350586
,0.875,,,1,999,,,,0.27264994382858276
,0.953125,,,1,1049,,,,0.12563453614711761
,0.96875,,,1,1099,,,,0.13385801017284393
,0.953125,,,1,1149,,,,0.20262233912944794
,1.0,,,1,1199,,,,0.11021968722343445
,0.953125,,,1,1249,,,,0.19554877281188965
,0.859375,,,1,1299,,,,0.39242789149284363
,0.96875,,,1,1349,,,,0.10813620686531067
,0.9375,,,1,1399,,,,0.19317248463630676
,0.9375,,,1,1449,,,,0.16843175888061523
,0.984375,,,1,1499,,,,0.0751117691397667
0.9408125281333923,,,,1,1499,,,0.2084064930677414,
,0.9375,,,2,1549,,,,0.20408523082733154
,0.90625,,,2,1599,,,,0.3118799328804016
,0.921875,,,2,1649,,,,0.26198872923851013
,0.953125,,,2,1699,,,,0.09679551422595978
,0.921875,,,2,1749,,,,0.21125629544258118
,0.953125,,,2,1799,,,,0.08469129353761673
,0.984375,,,2,1849,,,,0.0855424627661705
,0.953125,,,2,1899,,,,0.1648426204919815
,0.984375,,,2,1949,,,,0.09056601673364639
,0.953125,,,2,1999,,,,0.15815238654613495
,0.875,,,2,2049,,,,0.29895660281181335
,0.984375,,,2,2099,,,,0.07423759996891022
,0.9375,,,2,2149,,,,0.15517239272594452
,0.9375,,,2,2199,,,,0.1615287959575653
,1.0,,,2,2249,,,,0.0503121092915535
0.9534791707992554,,,,2,2249,,,0.15908709168434143,
,0.9375,,,3,2299,,,,0.15995852649211884
,0.9375,,,3,2349,,,,0.2695338726043701
,0.921875,,,3,2399,,,,0.24382562935352325
,0.984375,,,3,2449,,,,0.06879355013370514
,0.921875,,,3,2499,,,,0.1748294085264206
,0.984375,,,3,2549,,,,0.060684360563755035
,0.984375,,,3,2599,,,,0.06081252917647362
,0.953125,,,3,2649,,,,0.14596883952617645
,0.96875,,,3,2699,,,,0.08417943865060806
,0.9375,,,3,2749,,,,0.13320618867874146
,0.921875,,,3,2799,,,,0.2410029023885727
,1.0,,,3,2849,,,,0.05135892704129219
,0.9375,,,3,2899,,,,0.1383029818534851
,0.9375,,,3,2949,,,,0.14448745548725128
,1.0,,,3,2999,,,,0.035074442625045776
0.9626874923706055,,,,3,2999,,,0.1289176195859909,
,0.9375,,,4,3049,,,,0.12015796452760696
,0.953125,,,4,3099,,,,0.23419798910617828
,0.9375,,,4,3149,,,,0.23103895783424377
,0.984375,,,4,3199,,,,0.049146898090839386
,0.9375,,,4,3249,,,,0.15024597942829132
,0.984375,,,4,3299,,,,0.041419196873903275
,0.984375,,,4,3349,,,,0.04780804365873337
,0.953125,,,4,3399,,,,0.12706367671489716
,0.96875,,,4,3449,,,,0.07816564291715622
,0.9375,,,4,3499,,,,0.11238545924425125
,0.921875,,,4,3549,,,,0.216066375374794
,1.0,,,4,3599,,,,0.03915701434016228
,0.96875,,,4,3649,,,,0.12306692451238632
,0.9375,,,4,3699,,,,0.1251191794872284
,1.0,,,4,3749,,,,0.02728141099214554
0.9691666960716248,,,,4,3749,,,0.10694222897291183,
,,0.9636666774749756,0.12099038809537888,5,3750,0.9636666774749756,0.12099038809537888,,
