acc_epoch,epoch,step,train_loss_epoch
0.125,0,3,2.2911553382873535
0.34375,1,7,1.7837855815887451
0.46875,2,11,1.4751825332641602
0.46875,3,15,1.3248186111450195
0.46875,4,19,1.2735238075256348
0.46875,5,23,1.2464749813079834
0.46875,6,27,1.2302658557891846
0.46875,7,31,1.2264561653137207
0.46875,8,35,1.2249298095703125
0.46875,9,39,1.2243993282318115
